City,State,Country,Full Address,Longitude,Latitude,Region,Institution/Organization,Domain
Hualien,,Taiwan,"Hualien, Taiwan",121.6111949,23.9910732,Asia,Tzu-Chi University,Assistant Professor - Department of Human Development
Washington DC,Washington DC,USA,"Washington DC, Washington DC, USA",-77.0368707,38.9071923,North America,George Washington University,Associate University Librarian
Seattle,Washington ,USA,"Seattle, Washington , USA",-122.3320708,47.6062095,North America,University of Washington,Research Data Librarian
New York,New York,USA,"New York, New York, USA",-74.0059728,40.7127753,North America,New York Drug Testing & Research Program,QA/QC Officer; PhD from Cornell
Edinburgh,Scotland,England,"Edinburgh, Scotland, England",-3.188267,55.953252,Europe,University of Edinburgh,neuroimaging (cognitive neuroscience and biomedical)
Glasgow,Scotland,England,"Glasgow, Scotland, England",-4.2603766,55.8616891,Europe,N/A - not really affiliated with any organization,Open Science Enthusiast 
Göttingen,,Germany,"Göttingen, Germany",9.915803499999999,51.54128040000001,Europe,Max Planck Institute for Human Development,Graduate student - Personality Psychology
London,,England,"London, England",-0.1277583,51.5073509,Europe,Kingston University London,"Research Associate, getting PhD in decision making. Interested in preregistration and Registered Reports"
Chicago,Illinois,USA,"Chicago, Illinois, USA",-87.6297982,41.8781136,North America,Harvard Catalyst ,
South Bend,Indiana,USA,"South Bend, Indiana, USA",-86.25198979999999,41.6763545,North America,Notre Dame,
Cincinnati,Ohio,USA,"Cincinnati, Ohio, USA",-84.5120196,39.1031182,North America,University of Cincinnati,Libraries - OSF Institutions
Claremont,California,USA,"Claremont, California, USA",-117.7197785,34.0966764,North America,Claremont Graduate University,
Winston-Salem,North Carolina,USA,"Winston-Salem, North Carolina, USA",-80.244216,36.09985959999999,North America,Wake Forest ,
Durham,North Carolina,USA,"Durham, North Carolina, USA",-78.898619,35.9940329,North America,Duke University,
,,Colombia,", Colombia",-74.297333,4.570868,,,Psych/Econ
New Orleans,Louisiana,USA,"New Orleans, Louisiana, USA",-90.0715323,29.95106579999999,North America,Tulane University,"Medical (MD student, cancer research)"
Denver,Colorado,USA,"Denver, Colorado, USA",-104.990251,39.7392358,North America,Denver Biolabs,
Lawrenceville,Georgia,USA,"Lawrenceville, Georgia, USA",-83.9879625,33.9562149,North America,Georgia Gwinnett College,Psych
Eugene,Oregon,USA,"Eugene, Oregon, USA",-123.0867536,44.0520691,North America,University of Oregon,Psych
Montreal,,Canada,"Montreal, Canada",-73.567256,45.5016889,North America,Université du Québec à Montréal,Canada Research Chair in Behavioural Ecology
Berlin,,Germany,"Berlin, Germany",13.404954,52.52000659999999,Europe,Humboldt University of Berlin,
Richmond,Virginia,USA,"Richmond, Virginia, USA",-77.4360481,37.5407246,North America,Virginia Commonwealth University,Psych
Charlottesville,Virginia,USA,"Charlottesville, Virginia, USA",-78.47667810000002,38.0293059,North America,PVCC,biology
Boulder,Colorado,USA,"Boulder, Colorado, USA",-105.2705456,40.0149856,North America,University of Colorado - Boulder,Research Data Librarian
Salt Lake City,Utah,USA,"Salt Lake City, Utah, USA",-111.8910474,40.7607793,North America,University of Utah,1st PhD student - Psychology 
Salt Lake City,Utah,USA,"Salt Lake City, Utah, USA",-111.8910474,40.7607793,North America,University of Utah,Data Services Librarian
Walla Walla,Washington,USA,"Walla Walla, Washington, USA",-118.3430208,46.0645809,North America,Whitman College,
Blacksburg,Virginia,USA,"Blacksburg, Virginia, USA",-80.4139393,37.2295733,North America,Virginia Tech,
Blacksburg,Virginia,USA,"Blacksburg, Virginia, USA",-80.4139393,37.2295733,North America,Virginia Tech,
 Honolulu,Hawaii,USA," Honolulu, Hawaii, USA",-157.8583333,21.3069444,North America,University of Hawaii - Manoa,Special Education
Tallahassee,Florida,USA,"Tallahassee, Florida, USA",-84.28073289999999,30.4382559,North America,Florida State University ,Libraries 
Knoxville,Tennessee,USA,"Knoxville, Tennessee, USA",-83.9207392,35.9606384,North America,"University of Tennessee, Knoxville",Psychology
Bochum,,Germany,"Bochum, Germany",7.216236299999999,51.4818445,Europe,Ruhr-Universität Bochum,Psychology
New Haven,Connecticut ,USA,"New Haven, Connecticut , USA",-72.9278835,41.308274,North America,"Cogstate, Inc.",Science Coordinator
Allendale,Michigan,USA,"Allendale, Michigan, USA",-85.9540407,42.97219339999999,North America,Grand Valley State University ,
Melbourne,,Australia,"Melbourne, Australia",144.9630576,-37.8136276,Australia,Deakin University,Professor - Psychology
Edinburgh,,Scotland,"Edinburgh, Scotland",-3.188267,55.953252,United Kingdom,University of Edinburgh,PHD student - Psychology
Fairfax,Virginia,USA,"Fairfax, Virginia, USA",-77.30637329999999,38.84622359999999,North America,George Mason University,Libraries
Chapel Hill,North Carolina,USA,"Chapel Hill, North Carolina, USA",-79.0558445,35.9131996,North America,University of North Carolina ,PHD student - Nutrition/Psychology
Oxford,,United Kingdom,"Oxford, United Kingdom",-1.2577263,51.7520209,United Kingdom,Oxford University,PHD student - Psychology
New Haven,Connecticut,USA,"New Haven, Connecticut, USA",-72.9278835,41.308274,North America,Yale University,
Kansas City,Missouri,USA,"Kansas City, Missouri, USA",-94.5785667,39.0997265,North America,Avila University,Professor - teaching metascience course
Los Angeles,California,USA,"Los Angeles, California, USA",-118.2436849,34.0522342,North America,UCLA,Libraries - OSF Institutions
Charlottesville,Virginia,USA,"Charlottesville, Virginia, USA",-78.47667810000002,38.0293059,North America,University of Virginia,Libraries - OSF Institutions
Blacksburg,Virginia,USA,"Blacksburg, Virginia, USA",-80.4139393,37.2295733,North America,Virginia Tech,
Richmond,Virginia,USA,"Richmond, Virginia, USA",-77.4360481,37.5407246,North America,VCU,
Göttingen,,Germany,"Göttingen, Germany",9.915803499999999,51.54128040000001,Europe,University of Göttingen,Completed her PhD in Implicit Theory of mind. Started a post-doc 
Ithaca ,New York,USA,"Ithaca , New York, USA",-76.5018807,42.4439614,North America,Cornell University,Libraries 
Bogota,,Colombia,"Bogota, Colombia",-74.072092,4.710988599999999,South America,Universidad de los Andes,
Wallingford,,United Kingdom,"Wallingford, United Kingdom",-1.1335613,51.5974177,Europe,Centre for Agriculture and Biosciences International (CABI),
Washington D.C.,D.C.,USA,"Washington D.C., D.C., USA",-77.0368707,38.9071923,North America,National Institutes of Health,
Changchun,,China,"Changchun, China",125.323544,43.817071,Asia,Northeast Normal University,
Trieste,,Italy,"Trieste, Italy",13.7768182,45.6495264,Europe,International School for Advanced Studies,PhD - second year
Chapel Hill,North Carolina,USA,"Chapel Hill, North Carolina, USA",-79.0558445,35.9131996,North America,University of North Carolina - Chapel Hill,PhD - Nutrition science
Ontario,,Canada,"Ontario, Canada",-85.323214,51.253775,North America,"University of Western Ontario  
","Post Doc - Development Psychology, cognitive psych, psycholinguistics"
Berlin,,Germany,"Berlin, Germany",13.404954,52.52000659999999,Europe,Technische Universität Berlin,
Melbourne,,Australia,"Melbourne, Australia",144.9630576,-37.8136276,Australia,University of Melbourne,
Melbourne,,Australia,"Melbourne, Australia",144.9630576,-37.8136276,Australia,University of Melbourne,
Blacksburg,Virginia,USA,"Blacksburg, Virginia, USA",-80.4139393,37.2295733,North America,Virginia Tech,Communications
Cedar Falls,Iowa,USA,"Cedar Falls, Iowa, USA",-92.4453161,42.5348993,North America,University of Northern Iowa,
Eindhoven,,Netherlands,"Eindhoven, Netherlands",5.4697225,51.44164199999999,Europe,TU Eindhoven,
Victoria,British Columbia,Canada,"Victoria, British Columbia, Canada",-123.3656444,48.4284207,North America,University of Victoria,
Amsterdam,,Netherlands,"Amsterdam, Netherlands",4.9035614,52.3679843,Europe,Vrije Universiteit Amsterdam,
Davis,California,USA,"Davis, California, USA",-121.7405167,38.5449065,North America,University of California - Davis,
Munich,,Germany,"Munich, Germany",11.5819805,48.1351253,Europe,Ludwig-Maximilians-Universitat (LMU),
Los Angeles,California,USA,"Los Angeles, California, USA",-118.2436849,34.0522342,North America,UCLA,
Paris,,France,"Paris, France",2.3522219,48.856614,Europe,Paris 8 University ,
Boulder,Colorado,USA,"Boulder, Colorado, USA",-105.2705456,40.0149856,North America,University of Colorado - Boulder ,
Richmond,Virginia,USA,"Richmond, Virginia, USA",-77.4360481,37.5407246,North America,University of Richmond,
Tilburg,,Netherlands,"Tilburg, Netherlands",5.056375,51.58525280000001,Europe,Tilburg University,
Boston,Massachusetts,USA,"Boston, Massachusetts, USA",-71.0588801,42.3600825,North America,Harvard-Smithsonian Center for Astrophysics,
San Francisco,California,USA,"San Francisco, California, USA",-122.4194155,37.7749295,North America,University of San Francisco        ,
Surrey,British Columbia,Canada,"Surrey, British Columbia, Canada",-122.8490125,49.1913466,North America,Kwantlen Polytechnic University,
Marion,Indiana,USA,"Marion, Indiana, USA",-85.6591442,40.5583739,North America,Indiana Wesleyan University,
Worcester,Massachusetts,USA,"Worcester, Massachusetts, USA",-71.8022934,42.2625932,North America,Clark University,Psychology
Boston,Massachusetts,USA,"Boston, Massachusetts, USA",-71.0588801,42.3600825,North America,Boston University,Libraries
Linköping,,Sweden,"Linköping, Sweden",15.6213728,58.41080700000001,Europe,Linköping University,Disability Research
Berlin,,Germany,"Berlin, Germany",13.404954,52.52000659999999,Europe,ScienceOpen,Paleotology 
Surbiton,,United Kingdom,"Surbiton, United Kingdom",-0.302662,51.39400999999999,Europe,Unaffilated at the moment,
Vancouver,British Columbia,Canada,"Vancouver, British Columbia, Canada",-123.1207375,49.2827291,North America,Simon Fraser University ,Libraries
Claremont,CA,USA,"Claremont, CA, USA",-117.7197785,34.0966764,North America,The Claremont Colleges,Digital Initiatives and Information Technology Librarian
Evansville,Indiana,USA,"Evansville, Indiana, USA",-87.5710898,37.9715592,North America,University of Southern Indiana,Community Psychology 
Washington D.C.,,USA,"Washington D.C., USA",-77.0368707,38.9071923,North America,George Washington University,Libraries
Syracuse ,New York,USA,"Syracuse , New York, USA",-76.14742439999999,43.0481221,North America,Syracuse University ,Psychology
Westminster,Maryland,USA,"Westminster, Maryland, USA",-76.9958149,39.5753791,North America,McDaniel College,Professor of Psychology
